' ':     8 ********
'!':     0 
'"':     0 
'#':     0 
'$':     0 
'%':     0 
'&':     0 
''':     0 
'(':     0 
')':     0 
'*':     0 
'+':     0 
',':     0 
'-':     0 
'.':     2 **
'/':     0 
'0':     5 *****
'1':     4 ****
'2':     5 *****
'3':     3 ***
'4':     2 **
'5':     3 ***
'6':     1 *
'7':     1 *
'8':     3 ***
'9':     1 *
':':    10 **********
';':     0 
'<':     0 
'=':     0 
'>':     0 
'?':     0 
'@':     2 **
'A':     1 *
'B':     1 *
'C':     0 
'D':     0 
'E':     0 
'F':     0 
'G':     0 
'H':     0 
'I':     0 
'J':     0 
'K':     0 
'L':     0 
'M':     0 
'N':     0 
'O':     0 
'P':     0 
'Q':     0 
'R':     0 
'S':     0 
'T':     0 
'U':     0 
'V':     0 
'W':     0 
'X':     0 
'Y':     0 
'Z':     0 
'[':     0 
'\':     0 
']':     0 
'^':     0 
'_':     0 
'`':     0 
'a':     7 *******
'b':     4 ****
'c':     4 ****
'd':     0 
'e':    15 ***************
'f':     0 
'g':     0 
'h':     4 ****
'i':     5 *****
'j':     0 
'k':     1 *
'l':     7 *******
'm':    11 ***********
'n':     4 ****
'o':    10 **********
'p':     4 ****
'q':     0 
'r':     1 *
's':     0 
't':     0 
'u':     0 
'v':     0 
'w':     1 *
'x':     2 **
'y':     0 
'z':     0 
'{':     0 
'|':     0 
'}':     0 
